language,rps,200,408,502,503
go,10000,673928,0,0,0
go,11000,1709088,0,0,46473
go,12000,1085774,0,0,87082
python,10000,261037,0,5,740990
python,11000,452541,0,1203,1489055
python,12000,151927,0,124,795807
quarkus,10000,173343,0,0,735914
quarkus,11000,538856,0,0,1201733
quarkus,12000,26022,0,0,897341
rust,10000,346361,4,0,741679
rust,11000,346011,146,0,688556
rust,12000,0,0,0,1192352
springboot,10000,106754,0,2,865590
springboot,11000,58335,0,45,1151383
springboot,12000,0,0,0,1302125
ts,10000,0,0,0,1328392
ts,11000,385027,0,89,551279
ts,12000,0,0,0,1219213
