language,rps,200,408,502,503
go,0,1300580,0,0,0
go,15000,108119,0,0,0
go,20000,320955,0,0,497633
go,25000,193675,0,0,223511
python,0,1197303,0,370,148208
python,15000,230921,0,376,1143921
python,20000,32285,0,0,934461
python,25000,104460,0,70,1352449
quarkus,0,1115192,0,0,87958
quarkus,15000,17291,0,0,795217
quarkus,20000,42497,0,0,950771
quarkus,25000,23677,0,0,953703
rust,0,1120170,0,0,0
rust,15000,279898,393,1,397894
rust,20000,232832,488,0,428993
rust,25000,284133,53,0,1084588
springboot,0,1053509,0,0,513
springboot,15000,66736,0,2,269050
springboot,20000,61321,0,0,517507
springboot,25000,101328,0,0,723600
ts,0,1189915,0,0,0
ts,15000,167537,0,0,466059
ts,20000,194075,0,148,1040205
ts,25000,60353,0,151,1464917
