language,rps,200,408,502,503
go,10000,100.0,0.0,0.0,0.0
go,11000,97.35000000000001,0.0,0.0,2.65
go,12000,92.58,0.0,0.0,7.42
python,10000,26.05,0.0,0.0,73.95
python,11000,23.29,0.0,0.06,76.64
python,12000,16.03,0.0,0.01,83.96000000000001
quarkus,10000,19.06,0.0,0.0,80.94
quarkus,11000,30.959999999999997,0.0,0.0,69.04
quarkus,12000,2.82,0.0,0.0,97.18
rust,10000,31.830000000000002,0.0,0.0,68.17
rust,11000,33.44,0.01,0.0,66.55
rust,12000,0.0,0.0,0.0,100.0
springboot,10000,10.979999999999999,0.0,0.0,89.02
springboot,11000,4.82,0.0,0.0,95.17
springboot,12000,0.0,0.0,0.0,100.0
ts,10000,0.0,0.0,0.0,100.0
ts,11000,41.120000000000005,0.0,0.01,58.87
ts,12000,0.0,0.0,0.0,100.0
