language,rps,200,408,502,503
go,15000,100.0,0.0,0.0,0.0
go,20000,39.21,0.0,0.0,60.79
go,25000,46.42,0.0,0.0,53.580000000000005
python,15000,16.79,0.0,0.03,83.17999999999999
python,20000,3.34,0.0,0.0,96.66
python,25000,7.17,0.0,0.0,92.83
quarkus,15000,2.13,0.0,0.0,97.87
quarkus,20000,4.279999999999999,0.0,0.0,95.72
quarkus,25000,2.42,0.0,0.0,97.58
rust,15000,41.27,0.06,0.0,58.67
rust,20000,35.15,0.06999999999999999,0.0,64.77000000000001
rust,25000,20.76,0.0,0.0,79.24
springboot,15000,19.869999999999997,0.0,0.0,80.12
springboot,20000,10.59,0.0,0.0,89.41
springboot,25000,12.280000000000001,0.0,0.0,87.72
ts,15000,26.44,0.0,0.0,73.56
ts,20000,15.72,0.0,0.01,84.27
ts,25000,3.9600000000000004,0.0,0.01,96.03
