language,rps,Min,25%,Median,75%,Max,Std
go,0,0.65,0.87,0.94,1.02,40.84,0.31
go,15000,0.0,1.0,1.0,1.0,127.0,10.87
go,20000,0.0,1145.0,2606.0,5380.0,29998.0,4085.12
go,25000,5.0,4047.0,8798.0,23249.5,44308.0,10041.27
python,0,1.01,1.46,2.06,3.29,29353.79,1100.58
python,15000,1.0,2099.0,3884.0,6699.0,29999.0,4082.64
python,20000,9.0,3183.0,5951.0,10846.0,22349.0,5223.92
python,25000,2.0,1443.0,4731.0,10672.0,29999.0,7700.86
rust,0,0.68,0.91,0.98,1.08,70.29,0.4
rust,15000,0.0,1025.0,2380.0,4706.0,29997.0,4793.45
rust,20000,1.0,2053.0,4180.0,7290.0,22064.0,3778.09
rust,25000,0.0,1524.0,2983.0,5179.0,25660.0,3248.11
springboot,0,1.03,1.33,1.44,1.58,80.11,1.19
springboot,15000,6.0,4887.0,8172.0,15951.0,30000.0,8129.75
springboot,20000,6.0,7439.0,18714.5,25212.0,30233.0,9418.43
springboot,25000,3.0,5842.0,12123.0,21044.0,30000.0,8590.01
ts,0,0.78,1.01,1.1,1.22,341.62,2.4
ts,15000,4.0,2171.0,4317.0,6569.0,29584.0,4106.88
ts,20000,3.0,4640.0,8587.0,17816.0,30522.0,8240.94
ts,25000,37.0,4527.0,10349.0,17660.5,29997.0,8483.57
